input_id	dealiased_id	standard_id	short_id
knoblauch2008	doi:10.17169/fqs-9.3.1170	doi:10.17169/fqs-9.3.1170	bFQoCf1L
schnettler2008	doi:10.17169/fqs-9.3.1149	doi:10.17169/fqs-9.3.1149	jCn3brYR
mcilvenny2019	doi:10.7146/si.v2i1.110409	doi:10.7146/si.v2i1.110409	tIUCHtOM
mcilvenny2020	doi:10.1177/1468794120905460	doi:10.1177/1468794120905460	Oz5ZwWjL
Nordicom2017	Nordicom2017	Nordicom2017	fj4YjUG7
davidsen2016	davidsen2016	davidsen2016	InPoaImt
antaki2008	doi:10.1515/TEXT.2008.001	doi:10.1515/text.2008.001	7zUFLZUG
stevanovic2017	doi:10.1016/j.lcsi.2017.06.001	doi:10.1016/j.lcsi.2017.06.001	bObclexD
tutt2011	doi:10.1080/08351813.2011.591765	doi:10.1080/08351813.2011.591765	Rhx72KfX
fraser2005	fraser2005	fraser2005	RW0sxSaw
harris2012	harris2012	harris2012	R4x3zHxV
evers2011	doi:10.17169/fqs-12.1.1636	doi:10.17169/fqs-12.1.1636	NoZYcB9o
raffaghelli2019	doi:10.3390/publications7010009	doi:10.3390/publications7010009	Pz2jAPhn
laurier2019	doi:10.7146/si.v2i1.113968	doi:10.7146/si.v2i1.113968	O1YnZAh3
mondada2019	doi:10.7146/si.v2i1.113150	doi:10.7146/si.v2i1.113150	Nr91KKlI
schegloff1999	schegloff1999	schegloff1999	co0UpHoR
hepburn2017	hepburn2017	hepburn2017	1Bjue22mX
mondada2018	doi:10.1080/08351813.2018.1413878	doi:10.1080/08351813.2018.1413878	J9QpxFrk
laurier2014	doi:10.1111/gec3.12123	doi:10.1111/gec3.12123	WIRAbUmz
woods2011	doi:10.17169/fqs-12.1.1516	doi:10.17169/fqs-12.1.1516	skuR556J
barabesi1997	barabesi1997	barabesi1997	OmVQE1Mg
meier1998	doi:10.1515/arbeit-1998-0305	doi:10.1515/arbeit-1998-0305	13qi40WOP
meier2003	meier2003	meier2003	XNUAHgeR
raudaskoski2000	raudaskoski2000	raudaskoski2000	liNQswWc
licoppe2012	doi:10.1080/08351813.2012.724996	doi:10.1080/08351813.2012.724996	lua4skLu
antonijevic2008	doi:10.1080/13691180801937290	doi:10.1080/13691180801937290	OgtH0uB9
bardzell2008	doi:10.1177/1206331208319148	doi:10.1177/1206331208319148	ovhfxGS6
luff2013	doi:10.1145/2442106.2442112	doi:10.1145/2442106.2442112	Gp44QP5p
fraser2006	fraser2006	fraser2006	LT7DxwPI
markle2011	doi:10.17169/fqs-12.3.1564	doi:10.17169/fqs-12.3.1564	Dq0dqMJh
arbuckle2019	doi:10.5334/kula.39	doi:10.5334/kula.39	IrxxmFAv
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
doi:10.7717/peerj-cs.112	doi:10.7717/peerj-cs.112	doi:10.7717/peerj-cs.112	17wKkS4DV
